수집시각,측정시각,측정소,PM10,PM2.5,통합지수,오존,이산화질소,일산화탄소,아황산가스
2025-05-17 14:57:37,2025-05-17 14:00,순천만,39,26,55,0.036,0.001,0.4,0.002
2025-05-17 14:57:37,2025-05-17 14:00,호두리,17,12,54,0.033,0.001,0.3,0.005
2025-05-17 14:57:38,2025-05-17 14:00,신대,17,9,63,0.045,0.002,0.1,0.005
2025-05-17 14:57:38,2025-05-17 14:00,빛가람동,19,12,57,0.038,0.005,0.2,0.003
2025-05-17 14:57:38,2025-05-17 14:00,담양읍,24,25,66,0.048,0.003,0.2,0.003
2025-05-17 14:57:39,2025-05-17 14:00,장성읍,22,11,62,0.044,0.004,0.3,0.003
2025-05-17 14:57:39,2025-05-17 14:00,화양면,11,6,55,0.035,0.004,0.4,0.003
2025-05-17 14:57:39,2025-05-17 14:00,율촌면,16,14,64,0.046,0.004,0.4,0.003
2025-05-17 14:57:39,2025-05-17 14:00,삼일동,18,16,64,0.046,0.008,0.3,0.004
2025-05-17 14:57:40,2025-05-17 14:00,중동,17,13,60,0.041,0.004,0.2,0.004
2025-05-17 14:57:40,2025-05-17 14:00,태인동,13,11,40,0.024,0.006,0.3,0.009
2025-05-17 14:57:40,2025-05-17 14:00,광양읍,19,11,56,0.036,0.002,0.5,0.004
2025-05-17 14:57:41,2025-05-17 14:00,봉강면,-,14,-,0.039,0.002,0.2,0.004
2025-05-17 14:57:41,2025-05-17 14:00,진월면,20,16,60,0.041,0.003,0.2,0.004
2025-05-17 14:57:41,2025-05-17 14:00,해남읍,10,-,-,0.045,0.004,0.2,0.002
2025-05-17 14:57:41,2025-05-17 14:00,대불,6,6,61,0.043,0.003,0.3,0.002
2025-05-17 14:57:42,2025-05-17 14:00,영암읍,16,9,64,0.047,0.001,-,0.003
2025-05-17 14:57:42,2025-05-17 14:00,송단리,21,14,59,0.040,0.003,0.2,0.003
2025-05-17 14:57:42,2025-05-17 14:00,화순읍,39,19,60,0.041,0.002,0.4,0.003
2025-05-17 14:57:43,2025-05-17 14:00,영광읍,10,8,65,0.048,0.003,0.3,0.003
2025-05-17 14:57:43,2025-05-17 14:00,성건동,18,7,73,0.057,0.005,0.2,0.005
2025-05-17 14:57:43,2025-05-17 14:00,보덕동,15,11,67,0.049,0.004,0.2,0.005
2025-05-17 14:57:43,2025-05-17 14:00,안강읍,18,9,67,0.049,0.003,0.2,0.003
2025-05-17 14:57:44,2025-05-17 14:00,외동읍,15,14,60,0.041,0.003,0.2,0.004
2025-05-17 14:57:44,2025-05-17 14:00,양덕동,15,8,67,0.050,0.003,0.3,0.003
2025-05-17 14:57:44,2025-05-17 14:00,평화남산동,22,7,58,0.039,0.001,0.1,0.005
2025-05-17 14:57:45,2025-05-17 14:00,대광동,17,17,61,0.042,0.006,0.3,0.006
2025-05-17 14:57:45,2025-05-17 14:00,율곡동,30,6,63,0.045,0.006,0.2,0.005
2025-05-17 14:57:45,2025-05-17 14:00,명륜동,20,7,61,0.043,0.004,0.4,0.003
2025-05-17 14:57:46,2025-05-17 14:00,공단동,23,16,58,0.039,0.007,0.5,0.005
2025-05-17 14:57:46,2025-05-17 14:00,원평동,22,10,64,0.047,0.007,0.2,0.005
2025-05-17 14:57:46,2025-05-17 14:00,형곡동,19,13,65,0.047,0.003,0.2,0.006
2025-05-17 14:57:47,2025-05-17 14:00,4공단,23,12,65,0.047,0.005,0.3,0.005
2025-05-17 14:57:47,2025-05-17 14:00,진미동,21,18,62,0.044,0.005,-,0.006
2025-05-17 14:57:47,2025-05-17 14:00,가흥동,16,6,59,0.040,0.008,0.3,0.004
2025-05-17 14:57:47,2025-05-17 14:00,영주동,17,10,60,0.041,0.005,0.4,0.003
2025-05-17 14:57:48,2025-05-17 14:00,중방동,21,17,65,0.047,0.002,0.3,0.006
2025-05-17 14:57:48,2025-05-17 14:00,하양읍,19,16,62,0.044,0.006,0.3,0.006
2025-05-17 14:57:48,2025-05-17 14:00,월평동,32,24,63,0.045,0.006,0.4,0.004
2025-05-17 14:57:49,2025-05-17 14:00,봉명동,18,10,61,0.042,0.007,0.3,0.003
2025-05-17 14:57:49,2025-05-17 14:00,사천동,17,15,61,0.042,0.007,0.3,0.004
