dmX,item,mangName,year,addr,stationName,dmY
37.5175623,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1978,서울 강남구 학동로 426 강남구청 별관 1동,강남구,127.0472893
37.501783,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1982,서울특별시 서초구 신반포로15길 16 (반포동) 서초교육복지센터,서초구,126.996573
37.516083,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,1995,서울 강남구 도산대로 104 신사역2번출구 앞,도산대로,127.019694
37.482867,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2009,서울특별시 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),강남대로,127.035621
37.502685,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1984,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),송파구,127.092385
37.545089,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1997,서울 강동구 구천면로 42길 59 천호1동 주민센터,강동구,127.136806
37.534035,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2008,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),천호대로,127.139172
37.452386,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1997,서울 금천구 금하로21길 20 시흥5동 주민센터,금천구,126.908333
37.474899,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2018,서울 금천구 독산동 996-9 한양수자인아파트 앞,시흥대로,126.898657
37.64793,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1997,서울 강북구 삼양로 139길 49 우이동 주민센터,강북구,127.011952
37.523286,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1997,서울 양천구 중앙로52길 56 신정4동 문화센터,양천구,126.858689
37.657415,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1997,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),노원구,127.067876
37.617315,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2009,서울 노원구 화랑로 429 태능입구역 8번 출구,화랑로,127.07512
37.4112,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2006,경기 광주시 중앙로 128 농협중앙회,경안동,127.2579
37.36615,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2019,경기도 광주시 오포읍 오포로859번길 29 오포1동 행정복지센터 옥상,오포1동,127.22856
37.350901,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2020,경기도 광주시 곤지암읍 광여로 59 곤지암읍 행정복지센터 옥상,곤지암,127.352363
37.2345,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1999,경기 용인시 처인구 금령로 50 처인구청,김량장동,127.2014
37.327927,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2005,경기 용인시 수지구 수지로 342번길3 풍덕천1동주민자치센터,수지,127.095215
37.280224,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2007,경기 용인시 기흥구 관곡로 95 기흥구청,기흥,127.11514
37.275324,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2011,경기 용인시 기흥구 구갈동 505-3 녹십자사거리,중부대로(구갈동),127.113744
37.329538,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2019,경기도 용인시 처인구 모현읍 독점로 31-6 모현읍주민자치센터,모현읍,127.242271
