name,base_year,name_eng,code
종로구,2018,Jongno-gu,11010
중구,2018,Jung-gu,11020
용산구,2018,Yongsan-gu,11030
성동구,2018,Seongdong-gu,11040
광진구,2018,Gwangjin-gu,11050
동대문구,2018,Dongdaemun-gu,11060
중랑구,2018,Jungnang-gu,11070
성북구,2018,Seongbuk-gu,11080
강북구,2018,Gangbuk-gu,11090
도봉구,2018,Dobong-gu,11100
노원구,2018,Nowon-gu,11110
은평구,2018,Eunpyeong-gu,11120
서대문구,2018,Seodaemun-gu,11130
마포구,2018,Mapo-gu,11140
양천구,2018,Yangcheon-gu,11150
강서구,2018,Gangseo-gu,11160
구로구,2018,Guro-gu,11170
금천구,2018,Geumcheon-gu,11180
영등포구,2018,Yeongdeungpo-gu,11190
동작구,2018,Dongjak-gu,11200
관악구,2018,Gwanak-gu,11210
서초구,2018,Seocho-gu,11220
강남구,2018,Gangnam-gu,11230
송파구,2018,Songpa-gu,11240
강동구,2018,Gangdong-gu,11250
중구,2018,Jung-gu,21010
서구,2018,Seo-gu,21020
동구,2018,Dong-gu,21030
영도구,2018,Yeongdo-gu,21040
부산진구,2018,Busanjin-gu,21050
동래구,2018,Dongnae-gu,21060
남구,2018,Nam-gu,21070
북구,2018,Buk-gu,21080
해운대구,2018,Haeundae-gu,21090
사하구,2018,Saha-gu,21100
금정구,2018,Geumjeong-gu,21110
강서구,2018,Gangseo-gu,21120
연제구,2018,Yeonje-gu,21130
수영구,2018,Suyeong-gu,21140
사상구,2018,Sasang-gu,21150
기장군,2018,Gijang-gun,21310
중구,2018,Jung-gu,22010
동구,2018,Dong-gu,22020
서구,2018,Seo-gu,22030
남구,2018,Nam-gu,22040
북구,2018,Buk-gu,22050
수성구,2018,Suseong-gu,22060
달서구,2018,Dalseo-gu,22070
달성군,2018,Dalseong-gun,22310
중구,2018,Jung-gu,23010
동구,2018,Dong-gu,23020
남구,2018,Nam-gu,23030
연수구,2018,Yeonsu-gu,23040
남동구,2018,Namdong-gu,23050
부평구,2018,Bupyeong-gu,23060
계양구,2018,Gyeyang-gu,23070
서구,2018,Seo-gu,23080
강화군,2018,Ganghwa-gun,23310
옹진군,2018,Ongjin-gun,23320
동구,2018,Dong-gu,24010
서구,2018,Seo-gu,24020
남구,2018,Nam-gu,24030
북구,2018,Buk-gu,24040
광산구,2018,Gwangsan-gu,24050
동구,2018,Dong-gu,25010
중구,2018,Jung-gu,25020
서구,2018,Seo-gu,25030
유성구,2018,Yuseong-gu,25040
대덕구,2018,Daedeok-gu,25050
중구,2018,Jung-gu,26010
남구,2018,Nam-gu,26020
동구,2018,Dong-gu,26030
북구,2018,Buk-gu,26040
울주군,2018,Ulju-gun,26310
세종시,2018,Sejongsi,29010
수원시장안구,2018,Suwonsijangangu,31011
수원시권선구,2018,Suwonsigwonseongu,31012
수원시팔달구,2018,Suwonsipaldalgu,31013
수원시영통구,2018,Suwonsiyeongtonggu,31014
성남시수정구,2018,Seongnamsisujeonggu,31021
성남시중원구,2018,Seongnamsijungwongu,31022
성남시분당구,2018,Seongnamsibundanggu,31023
의정부시,2018,Uijeongbu-si,31030
안양시만안구,2018,Anyangsimanangu,31041
안양시동안구,2018,Anyangsidongangu,31042
부천시,2018,Bucheon-si,31050
광명시,2018,Gwangmyeong-si,31060
평택시,2018,Pyeongtaek-si,31070
동두천시,2018,Dongducheon-si,31080
안산시상록구,2018,Ansansisangnokgu,31091
안산시단원구,2018,Ansansidanwongu,31092
고양시덕양구,2018,Goyangsideogyanggu,31101
고양시일산동구,2018,Goyangsiilsandonggu,31103
고양시일산서구,2018,Goyangsiilsanseogu,31104
과천시,2018,Gwacheon-si,31110
구리시,2018,Guri-si,31120
남양주시,2018,Namyangju-si,31130
오산시,2018,Osan-si,31140
시흥시,2018,Siheung-si,31150
군포시,2018,Gunpo-si,31160
의왕시,2018,Uiwang-si,31170
하남시,2018,Hanam-si,31180
용인시처인구,2018,Yonginsicheoingu,31191
용인시기흥구,2018,Yonginsigiheunggu,31192
용인시수지구,2018,Yonginsisujigu,31193
파주시,2018,Paju-si,31200
이천시,2018,Icheon-si,31210
안성시,2018,Anseong-si,31220
김포시,2018,Gimpo-si,31230
화성시,2018,Hwaseongsi,31240
광주시,2018,Gwangju,31250
양주시,2018,Yangjusi,31260
포천시,2018,Pocheonsi,31270
여주시,2018,Yeoju-si,31280
연천군,2018,Yeoncheon-gun,31350
가평군,2018,Gapyeong-gun,31370
양평군,2018,Yangpyeong-gun,31380
춘천시,2018,Chuncheon-si,32010
원주시,2018,Wonju-si,32020
강릉시,2018,Gangneung-si,32030
동해시,2018,Donghae-si,32040
태백시,2018,Taebaek-si,32050
속초시,2018,Sokcho-si,32060
삼척시,2018,Samcheok-si,32070
홍천군,2018,Hongcheon-gun,32310
횡성군,2018,Hoengseong-gun,32320
영월군,2018,Yeongwol-gun,32330
평창군,2018,Pyeongchang-gun,32340
